"id","created_at","updated_at","acquirer_id","name","state"
"707","2022-11-15 22:08:46.967094 UTC","2022-11-15 22:08:46.967094 UTC","4","Veum, Lang and Thiel Co No 421","active"
"716","2022-11-15 22:08:48.470602 UTC","2022-11-15 22:08:48.470602 UTC","3","Marvin, Cassin and D'Amore Co No 430","active"
"158","2020-05-08 09:20:01.887683 UTC","2021-12-29 10:00:21.385712 UTC","1","ANDORA COMPANY OÜ","active"
"1008","2022-11-15 22:09:40.283497 UTC","2022-11-15 22:09:40.283497 UTC","1","Kuphal-Littel Co No 722","active"
"816","2022-11-15 22:09:07.492636 UTC","2022-11-15 22:09:07.492636 UTC","3","Oberbrunner-Shields Co No 530","active"
"1023","2022-11-15 22:09:42.842774 UTC","2022-11-15 22:09:42.842774 UTC","6","Thiel, Rutherford and White Co No 737","active"
"1028","2022-11-15 22:09:43.627409 UTC","2022-11-15 22:09:43.627409 UTC","9","O'Connell and Sons Co No 742","active"
"1037","2022-11-15 22:09:45.404100 UTC","2022-11-15 22:09:45.404100 UTC","8","Weimann-Boyle Co No 751","active"
"910","2022-11-15 22:09:23.470482 UTC","2022-11-15 22:09:23.470482 UTC","4","O'Kon LLC Co No 624","active"
"1086","2022-11-15 22:09:53.526438 UTC","2022-11-15 22:09:53.526438 UTC","6","Okuneva-Welch Co No 800","active"
"1089","2022-11-15 22:09:54.032139 UTC","2022-11-15 22:09:54.032139 UTC","6","Hand-Padberg Co No 803","active"
"1433","2022-11-15 22:10:54.606871 UTC","2022-11-15 22:10:54.606871 UTC","6","Konopelski-Leuschke Co No 1147","active"
"1452","2022-11-15 22:10:57.814291 UTC","2022-11-15 22:10:57.814291 UTC","7","Gleason-Considine Co No 1166","active"
"1537","2022-11-15 22:11:14.159187 UTC","2022-11-15 22:11:14.159187 UTC","3","Witting-Nolan Co No 1251","active"
"1585","2022-11-15 22:11:22.112706 UTC","2022-11-15 22:11:22.112706 UTC","3","Mitchell, Klein and Ebert Co No 1299","active"
"1632","2022-11-15 22:11:29.857640 UTC","2022-11-15 22:11:29.857640 UTC","8","Hermann, Okuneva and D'Amore Co No 1346","active"
"1692","2022-11-15 22:11:40.039444 UTC","2022-11-15 22:11:40.039444 UTC","2","Zboncak-Gleichner Co No 1406","active"
"1700","2022-11-15 22:11:41.373445 UTC","2022-11-15 22:11:41.373445 UTC","7","Satterfield Inc Co No 1414","active"
"1725","2022-11-15 22:11:45.999653 UTC","2022-11-15 22:11:45.999653 UTC","2","Hoeger LLC Co No 1439","active"
"1784","2022-11-15 22:11:55.926550 UTC","2022-11-15 22:11:55.926550 UTC","8","Daniel LLC Co No 1498","active"
"1848","2022-11-15 22:12:09.249793 UTC","2022-11-15 22:12:09.249793 UTC","4","Ryan-McDermott Co No 1562","active"
"1924","2022-11-15 22:12:22.426880 UTC","2022-11-15 22:12:22.426880 UTC","3","Hyatt-Waters Co No 1638","active"
"2020","2022-11-15 22:12:38.745133 UTC","2022-11-15 22:12:38.745133 UTC","6","Hettinger-Cassin Co No 1734","active"
"2150","2022-11-15 22:13:00.588383 UTC","2022-11-15 22:13:00.588383 UTC","3","Reilly, Kohler and Kuhic Co No 1864","active"
"2197","2022-11-15 22:13:10.900036 UTC","2022-11-15 22:13:10.900036 UTC","5","Kautzer, Jacobs and Mueller Co No 1911","active"
"2231","2022-11-15 22:13:17.851005 UTC","2022-11-15 22:13:17.851005 UTC","4","Kreiger, Kutch and Gerhold Co No 1945","active"
"2232","2022-11-15 22:13:18.013988 UTC","2022-11-15 22:13:18.013988 UTC","4","Jacobs-Stark Co No 1946","active"
"2237","2022-11-15 22:13:18.921051 UTC","2022-11-15 22:13:18.921051 UTC","8","Emard-Weissnat Co No 1951","active"
"2255","2022-11-15 22:13:22.002848 UTC","2022-11-15 22:13:22.002848 UTC","8","Witting, Miller and Cormier Co No 1969","active"
"2344","2022-11-15 22:22:52.010882 UTC","2022-11-15 22:22:52.010882 UTC","2","Robel, Morissette and Roberts Co No 21","active"
"2381","2022-11-15 22:22:58.079922 UTC","2022-11-15 22:22:58.079922 UTC","3","Kohler, MacGyver and Block Co No 58","active"
"2406","2022-11-15 22:23:04.138935 UTC","2022-11-15 22:23:04.138935 UTC","1","Mann-Kreiger Co No 83","active"
"2456","2022-11-15 22:23:12.415264 UTC","2022-11-15 22:23:12.415264 UTC","1","Bosco, Stark and Gulgowski Co No 133","active"
"2573","2022-11-15 22:23:31.886914 UTC","2022-11-15 22:23:31.886914 UTC","7","Crist-Bergnaum Co No 250","active"
"2677","2022-11-15 22:23:49.031575 UTC","2022-11-15 22:23:49.031575 UTC","6","Stehr, Grimes and Corkery Co No 354","active"
"2751","2022-11-15 22:24:02.658713 UTC","2022-11-15 22:24:02.658713 UTC","3","Kozey-Fadel Co No 428","active"
"2761","2022-11-15 22:24:05.459471 UTC","2022-11-15 22:24:05.459471 UTC","1","Kshlerin, Botsford and Stamm Co No 438","active"
"2769","2022-11-15 22:24:06.868157 UTC","2022-11-15 22:24:06.868157 UTC","6","Murazik-Bechtelar Co No 446","active"
"2852","2022-11-15 22:24:21.276893 UTC","2022-11-15 22:24:21.276893 UTC","4","Gleason, Watsica and Lockman Co No 529","active"
"2871","2022-11-15 22:24:24.547252 UTC","2022-11-15 22:24:24.547252 UTC","6","Considine Group Co No 548","active"
"2899","2022-11-15 22:24:29.273676 UTC","2022-11-15 22:24:29.273676 UTC","1","Mueller Group Co No 576","active"
"2912","2022-11-15 22:24:32.184441 UTC","2022-11-15 22:24:32.184441 UTC","5","Sipes, Runolfsson and Kovacek Co No 589","active"
"3079","2022-11-15 22:25:00.982539 UTC","2022-11-15 22:25:00.982539 UTC","6","Wunsch and Sons Co No 756","active"
"1120","2022-11-15 22:09:59.123478 UTC","2022-11-15 22:09:59.123478 UTC","4","Leffler, Kuhn and Schneider Co No 834","active"
"1180","2022-11-15 22:10:12.070711 UTC","2022-11-15 22:10:12.070711 UTC","4","Collier Inc Co No 894","active"
"1182","2022-11-15 22:10:12.440958 UTC","2022-11-15 22:10:12.440958 UTC","8","Buckridge-Rath Co No 896","active"
"1186","2022-11-15 22:10:13.090513 UTC","2022-11-15 22:10:13.090513 UTC","8","Yundt-Lakin Co No 900","active"
"1187","2022-11-15 22:10:13.244456 UTC","2022-11-15 22:10:13.244456 UTC","6","Langosh LLC Co No 901","active"
"1208","2022-11-15 22:10:16.836197 UTC","2022-11-15 22:10:16.836197 UTC","8","Brown, Renner and Orn Co No 922","active"
"1256","2022-11-15 22:10:24.589824 UTC","2022-11-15 22:10:24.589824 UTC","8","Wilderman LLC Co No 970","active"
"1261","2022-11-15 22:10:25.414217 UTC","2022-11-15 22:10:25.414217 UTC","6","Jerde, Boyer and Rice Co No 975","active"
"1268","2022-11-15 22:10:26.536896 UTC","2022-11-15 22:10:26.536896 UTC","5","Miller Group Co No 982","active"
"1270","2022-11-15 22:10:26.849162 UTC","2022-11-15 22:10:26.849162 UTC","9","Rohan, Greenfelder and Baumbach Co No 984","active"
"1284","2022-11-15 22:10:29.085293 UTC","2022-11-15 22:10:29.085293 UTC","6","D'Amore-Hansen Co No 998","active"
"1303","2022-11-15 22:10:32.533376 UTC","2022-11-15 22:10:32.533376 UTC","4","Stark, Dare and Yost Co No 1017","active"
"1318","2022-11-15 22:10:35.104130 UTC","2022-11-15 22:10:35.104130 UTC","2","Beatty-Monahan Co No 1032","active"
"1333","2022-11-15 22:10:37.658469 UTC","2022-11-15 22:10:37.658469 UTC","3","Crist, Senger and Abshire Co No 1047","active"
"1354","2022-11-15 22:10:41.199526 UTC","2022-11-15 22:10:41.199526 UTC","3","Welch, Raynor and Stamm Co No 1068","active"
"1365","2022-11-15 22:10:43.059189 UTC","2022-11-15 22:10:43.059189 UTC","3","Roberts-Hayes Co No 1079","active"
"1383","2022-11-15 22:10:46.432800 UTC","2022-11-15 22:10:46.432800 UTC","1","Feil-Schiller Co No 1097","active"
"1404","2022-11-15 22:10:49.888915 UTC","2022-11-15 22:10:49.888915 UTC","2","Mraz Inc Co No 1118","active"
"1415","2022-11-15 22:10:51.737360 UTC","2022-11-15 22:10:51.737360 UTC","6","Leannon, Schaefer and Rath Co No 1129","active"
"1455","2022-11-15 22:10:58.294935 UTC","2022-11-15 22:10:58.294935 UTC","7","Smith-Langworth Co No 1169","active"
"1456","2022-11-15 22:10:58.452931 UTC","2022-11-15 22:10:58.452931 UTC","4","Carter Group Co No 1170","active"
"1477","2022-11-15 22:11:03.106174 UTC","2022-11-15 22:11:03.106174 UTC","1","Beatty, Hayes and Becker Co No 1191","active"
"1485","2022-11-15 22:11:05.046201 UTC","2022-11-15 22:11:05.046201 UTC","8","Powlowski-Cremin Co No 1199","active"
"1491","2022-11-15 22:11:06.149025 UTC","2022-11-15 22:11:06.149025 UTC","4","Kunze-Graham Co No 1205","active"
"1493","2022-11-15 22:11:06.623944 UTC","2022-11-15 22:11:06.623944 UTC","3","Crona LLC Co No 1207","active"
"1519","2022-11-15 22:11:11.132846 UTC","2022-11-15 22:11:11.132846 UTC","1","Little, Hoppe and Reichert Co No 1233","active"
"1547","2022-11-15 22:11:15.947118 UTC","2022-11-15 22:11:15.947118 UTC","1","Flatley-Armstrong Co No 1261","active"
"1558","2022-11-15 22:11:17.676325 UTC","2022-11-15 22:11:17.676325 UTC","6","Gislason and Sons Co No 1272","active"
"1561","2022-11-15 22:11:18.270490 UTC","2022-11-15 22:11:18.270490 UTC","7","Fahey, Brakus and Casper Co No 1275","active"
"1564","2022-11-15 22:11:18.750580 UTC","2022-11-15 22:11:18.750580 UTC","3","Ratke LLC Co No 1278","active"
"1573","2022-11-15 22:11:20.192696 UTC","2022-11-15 22:11:20.192696 UTC","8","Stanton-Tillman Co No 1287","active"
"1584","2022-11-15 22:11:21.956344 UTC","2022-11-15 22:11:21.956344 UTC","6","McCullough Group Co No 1298","active"
"1602","2022-11-15 22:11:24.920720 UTC","2022-11-15 22:11:24.920720 UTC","1","Mohr, Bradtke and Feeney Co No 1316","active"
"1634","2022-11-15 22:11:30.386726 UTC","2022-11-15 22:11:30.386726 UTC","2","Kunze-Cremin Co No 1348","active"
"1670","2022-11-15 22:11:36.443226 UTC","2022-11-15 22:11:36.443226 UTC","1","White, McClure and Swift Co No 1384","active"
"1693","2022-11-15 22:11:40.213622 UTC","2022-11-15 22:11:40.213622 UTC","3","Gulgowski Inc Co No 1407","active"
"1696","2022-11-15 22:11:40.698914 UTC","2022-11-15 22:11:40.698914 UTC","5","Will and Sons Co No 1410","active"
"1713","2022-11-15 22:11:43.612555 UTC","2022-11-15 22:11:43.612555 UTC","5","Frami, Kertzmann and McGlynn Co No 1427","active"
"1728","2022-11-15 22:11:46.572996 UTC","2022-11-15 22:11:46.572996 UTC","2","Zieme Inc Co No 1442","active"
"1737","2022-11-15 22:11:48.015175 UTC","2022-11-15 22:11:48.015175 UTC","3","Luettgen, Tillman and Ritchie Co No 1451","active"
"1751","2022-11-15 22:11:50.335063 UTC","2022-11-15 22:11:50.335063 UTC","4","Wisozk, Hauck and Friesen Co No 1465","active"
"1782","2022-11-15 22:11:55.608945 UTC","2022-11-15 22:11:55.608945 UTC","8","Kohler-Tromp Co No 1496","active"
"1785","2022-11-15 22:11:56.086792 UTC","2022-11-15 22:11:56.086792 UTC","7","Glover Group Co No 1499","active"
"1787","2022-11-15 22:11:56.413696 UTC","2022-11-15 22:11:56.413696 UTC","2","Ernser and Sons Co No 1501","active"
"1798","2022-11-15 22:11:58.201528 UTC","2022-11-15 22:11:58.201528 UTC","8","Fritsch, Herzog and Beer Co No 1512","active"
"1823","2022-11-15 22:12:04.886488 UTC","2022-11-15 22:12:04.886488 UTC","7","Kuhic LLC Co No 1537","active"
"1840","2022-11-15 22:12:07.810321 UTC","2022-11-15 22:12:07.810321 UTC","7","Mante, Abshire and Parisian Co No 1554","active"
"1843","2022-11-15 22:12:08.322926 UTC","2022-11-15 22:12:08.322926 UTC","1","Koch, Kautzer and Gleason Co No 1557","active"
"1858","2022-11-15 22:12:10.931639 UTC","2022-11-15 22:12:10.931639 UTC","2","Reinger, Corkery and Howe Co No 1572","active"
"1864","2022-11-15 22:12:11.934884 UTC","2022-11-15 22:12:11.934884 UTC","1","Pollich Inc Co No 1578","active"
"1876","2022-11-15 22:12:13.938371 UTC","2022-11-15 22:12:13.938371 UTC","1","Mayert LLC Co No 1590","active"
"1906","2022-11-15 22:12:19.378457 UTC","2022-11-15 22:12:19.378457 UTC","3","Keebler-Leuschke Co No 1620","active"
"1950","2022-11-15 22:12:26.797085 UTC","2022-11-15 22:12:26.797085 UTC","7","Pagac, Bernier and Watsica Co No 1664","active"
"1969","2022-11-15 22:12:29.917591 UTC","2022-11-15 22:12:29.917591 UTC","2","Tillman, Schmidt and Hegmann Co No 1683","active"
"1986","2022-11-15 22:12:32.940655 UTC","2022-11-15 22:12:32.940655 UTC","5","VonRueden-Wyman Co No 1700","active"
"2001","2022-11-15 22:12:35.548820 UTC","2022-11-15 22:12:35.548820 UTC","5","Klein-MacGyver Co No 1715","active"
"2030","2022-11-15 22:12:40.442177 UTC","2022-11-15 22:12:40.442177 UTC","5","Brakus-Schowalter Co No 1744","active"
"2041","2022-11-15 22:12:42.321428 UTC","2022-11-15 22:12:42.321428 UTC","4","Howell, Stracke and Schneider Co No 1755","active"
"2055","2022-11-15 22:12:44.498232 UTC","2022-11-15 22:12:44.498232 UTC","3","Conn Group Co No 1769","active"
"2068","2022-11-15 22:12:46.962167 UTC","2022-11-15 22:12:46.962167 UTC","4","Auer, Brown and Lebsack Co No 1782","active"
"2070","2022-11-15 22:12:47.274931 UTC","2022-11-15 22:12:47.274931 UTC","7","Beer Inc Co No 1784","active"
"2073","2022-11-15 22:12:47.744307 UTC","2022-11-15 22:12:47.744307 UTC","9","Wehner-Larson Co No 1787","active"
"2080","2022-11-15 22:12:48.898507 UTC","2022-11-15 22:12:48.898507 UTC","7","Runolfsdottir LLC Co No 1794","active"
"2089","2022-11-15 22:12:50.330357 UTC","2022-11-15 22:12:50.330357 UTC","6","Schowalter-Schamberger Co No 1803","active"
"3166","2022-11-15 22:25:19.301061 UTC","2022-11-15 22:25:19.301061 UTC","7","Prohaska, Terry and Lueilwitz Co No 843","active"
"3188","2022-11-15 22:25:23.141775 UTC","2022-11-15 22:25:23.141775 UTC","7","Jones, Klein and Ankunding Co No 865","active"
"3249","2022-11-15 22:25:33.940299 UTC","2022-11-15 22:25:33.940299 UTC","2","Hoppe Inc Co No 926","active"
"3351","2022-11-15 22:25:51.497798 UTC","2022-11-15 22:25:51.497798 UTC","1","Shanahan and Sons Co No 1028","active"
"3377","2022-11-15 22:25:55.716908 UTC","2022-11-15 22:25:55.716908 UTC","6","Feest Group Co No 1054","active"
"3427","2022-11-15 22:26:05.743781 UTC","2022-11-15 22:26:05.743781 UTC","5","Hammes-Brakus Co No 1104","active"
"3434","2022-11-15 22:26:06.939017 UTC","2022-11-15 22:26:06.939017 UTC","7","Denesik-Medhurst Co No 1111","active"
"3542","2022-11-15 22:26:24.999174 UTC","2022-11-15 22:26:24.999174 UTC","1","Christiansen Inc Co No 1219","active"
"3609","2022-11-15 22:26:36.282548 UTC","2022-11-15 22:26:36.282548 UTC","7","Schamberger, Koss and Pagac Co No 1286","active"
"3622","2022-11-15 22:26:38.321950 UTC","2022-11-15 22:26:38.321950 UTC","3","Christiansen LLC Co No 1299","active"
"3661","2022-11-15 22:26:44.718763 UTC","2022-11-15 22:26:44.718763 UTC","6","Champlin, Veum and Bahringer Co No 1338","active"
"3763","2022-11-15 22:27:03.563029 UTC","2022-11-15 22:27:03.563029 UTC","4","Effertz, Hintz and Ullrich Co No 1440","active"
"3817","2022-11-15 22:27:13.241058 UTC","2022-11-15 22:27:13.241058 UTC","6","Moen, Turcotte and Bode Co No 1494","active"
"3886","2022-11-15 22:27:25.550698 UTC","2022-11-15 22:27:25.550698 UTC","4","Hermiston Inc Co No 1563","active"
"3940","2022-11-15 22:27:35.143351 UTC","2022-11-15 22:27:35.143351 UTC","5","Kemmer-O'Kon Co No 1617","active"
"3957","2022-11-15 22:27:37.988526 UTC","2022-11-15 22:27:37.988526 UTC","3","Weissnat-Lang Co No 1634","active"
"3998","2022-11-15 22:27:44.786391 UTC","2022-11-15 22:27:44.786391 UTC","4","Bauch and Sons Co No 1675","active"
"4057","2022-11-15 22:27:55.756547 UTC","2022-11-15 22:27:55.756547 UTC","4","Bergstrom LLC Co No 1734","active"
"4076","2022-11-15 22:27:59.054543 UTC","2022-11-15 22:27:59.054543 UTC","6","Hegmann, Ernser and Daugherty Co No 1753","active"
"4113","2022-11-15 22:28:07.459338 UTC","2022-11-15 22:28:07.459338 UTC","3","Barton, Dicki and Swift Co No 1790","active"
"4139","2022-11-15 22:28:11.937362 UTC","2022-11-15 22:28:11.937362 UTC","1","Swift and Sons Co No 1816","active"
"4192","2022-11-15 22:28:21.038337 UTC","2022-11-15 22:28:21.038337 UTC","5","Hills Inc Co No 1869","active"
"4207","2022-11-15 22:28:23.538865 UTC","2022-11-15 22:28:23.538865 UTC","4","Braun, Turner and Cole Co No 1884","active"
