"id","acquirer_id","name","state","created_at","updated_at"
"126","2","Test Certificate Merchant","active","2019-10-26 11:53:55.280655 UTC","2021-12-29 10:00:23.589916 UTC"
"399","7","Macejkovic-Nikolaus Co No 113","active","2022-11-15 22:07:53.534159 UTC","2022-11-15 22:07:53.534159 UTC"
"402","4","Dach, Hintz and Adams Co No 116","active","2022-11-15 22:07:54.031214 UTC","2022-11-15 22:07:54.031214 UTC"
"551","9","Haley-Schultz Co No 265","active","2022-11-15 22:08:20.652378 UTC","2022-11-15 22:08:20.652378 UTC"
"265","9","Inbank Happy Merchant","active","2022-04-04 10:42:26.768251 UTC","2022-04-04 10:42:26.797217 UTC"
"74","2","29 March test for ACQ settings","active","2018-03-29 07:10:43.556200 UTC","2021-12-31 09:57:27.985033 UTC"
"194","6","Swed Test Merchant","active","2021-01-26 07:45:11.791949 UTC","2021-12-29 10:00:28.515134 UTC"
"128","2","Testing 30.10","active","2019-10-30 06:53:24.689594 UTC","2021-12-31 09:57:28.487903 UTC"
"289","8","Bailey, Koch and Pacocha Co No 3","active","2022-11-15 22:07:35.440420 UTC","2022-11-15 22:07:35.440420 UTC"
"85","1","SEB TEST N","active","2018-04-27 12:26:13.890701 UTC","2021-06-03 10:51:18.783715 UTC"
"315","4","Osinski-Cummerata Co No 29","active","2022-11-15 22:07:39.724627 UTC","2022-11-15 22:07:39.724627 UTC"
"1000","9","Bartoletti, Effertz and Stokes Co No 714","active","2022-11-15 22:09:38.892104 UTC","2022-11-15 22:09:38.892104 UTC"
"52","2","Test lauri","active","2017-05-04 10:23:28.859807 UTC","2021-12-29 10:00:26.201411 UTC"
"575","1","Grady, Cummerata and Kozey Co No 289","active","2022-11-15 22:08:24.522735 UTC","2022-11-15 22:08:24.522735 UTC"
"5","2","Shark won Laser","suspended","2014-06-10 12:57:31.028324 UTC","2021-12-31 09:57:26.908355 UTC"
"32","2","test001","suspended","2016-02-09 15:12:45.111855 UTC","2021-12-31 09:57:26.948500 UTC"
"175","2","Tonovan OÜ","active","2020-09-29 09:53:44.674847 UTC","2021-12-29 10:00:27.472940 UTC"
"107","2","Test Merchant MK","active","2019-06-21 08:46:10.504350 UTC","2021-12-29 10:00:26.242036 UTC"
"205","3","OÜ EMPRESSO KANGAD","active","2021-03-02 09:07:06.235956 UTC","2021-12-29 10:00:28.627629 UTC"
"201","5","UAB ELECTROLUX","active","2021-03-02 07:26:05.435556 UTC","2021-12-29 10:00:28.665682 UTC"
"832","2","Hayes Group Co No 546","active","2022-11-15 22:09:10.277357 UTC","2022-11-15 22:09:10.277357 UTC"
"920","8","Stamm Group Co No 634","active","2022-11-15 22:09:25.215784 UTC","2022-11-15 22:09:25.215784 UTC"
"120","1","Testing","active","2019-09-12 13:15:10.210112 UTC","2021-12-29 10:00:20.504460 UTC"
"932","4","Daniel and Sons Co No 646","active","2022-11-15 22:09:27.155374 UTC","2022-11-15 22:09:27.155374 UTC"
"925","7","Kirlin, O'Hara and Thompson Co No 639","active","2022-11-15 22:09:26.013783 UTC","2022-11-15 22:09:26.013783 UTC"
"930","8","Bayer-Feil Co No 644","active","2022-11-15 22:09:26.822041 UTC","2022-11-15 22:09:26.822041 UTC"
"931","3","Emmerich, Daniel and Pagac Co No 645","active","2022-11-15 22:09:26.980014 UTC","2022-11-15 22:09:26.980014 UTC"
"946","3","Boyer, Murphy and Heller Co No 660","active","2022-11-15 22:09:29.405080 UTC","2022-11-15 22:09:29.405080 UTC"
"153","2","SvHu Store","active","2020-03-26 11:40:02.298947 UTC","2021-12-29 10:00:21.164507 UTC"
"983","2","Lynch, Howell and Cronin Co No 697","active","2022-11-15 22:09:36.122871 UTC","2022-11-15 22:09:36.122871 UTC"
"36","2","FraudCheckThresholdTest","suspended","2016-03-10 06:09:31.988197 UTC","2021-12-29 10:00:21.964385 UTC"
"368","3","Waelchi and Sons Co No 82","active","2022-11-15 22:07:48.604811 UTC","2022-11-15 22:07:48.604811 UTC"
"189","2","Eesti Langevarjuklubi","active","2021-01-06 09:17:50.348547 UTC","2021-12-29 10:00:22.556494 UTC"
"820","3","Heaney Group Co No 534","active","2022-11-15 22:09:08.173964 UTC","2022-11-15 22:09:08.173964 UTC"
"260","2","New wealthy merchant","active","2022-03-25 08:44:50.760906 UTC","2022-03-25 08:44:50.778141 UTC"
"113","1","MK test SEB","active","2019-06-25 12:18:23.677481 UTC","2021-12-31 09:57:23.216660 UTC"
"924","7","Koelpin-Carroll Co No 638","active","2022-11-15 22:09:25.850273 UTC","2022-11-15 22:09:25.850273 UTC"
"1012","9","Donnelly Inc Co No 726","active","2022-11-15 22:09:40.941062 UTC","2022-11-15 22:09:40.941062 UTC"
"952","2","Weber Group Co No 666","active","2022-11-15 22:09:30.760353 UTC","2022-11-15 22:09:30.760353 UTC"
"955","7","Weber-Renner Co No 669","active","2022-11-15 22:09:31.293181 UTC","2022-11-15 22:09:31.293181 UTC"
"38","2","Test Fraud Threshold 20160317","suspended","2016-03-17 07:24:00.148754 UTC","2021-12-31 09:57:27.270853 UTC"
"280","2","KOOK OÜ","active","2022-07-27 08:18:00.279817 UTC","2022-07-27 08:44:19.726074 UTC"
"599","5","Bartell, Aufderhar and Littel Co No 313","active","2022-11-15 22:08:28.487990 UTC","2022-11-15 22:08:28.487990 UTC"
"1315","8","Lynch-Renner Co No 1029","active","2022-11-15 22:10:34.548910 UTC","2022-11-15 22:10:34.548910 UTC"
"1534","1","McDermott and Sons Co No 1248","active","2022-11-15 22:11:13.662276 UTC","2022-11-15 22:11:13.662276 UTC"
"1658","8","Ondricka LLC Co No 1372","active","2022-11-15 22:11:34.455590 UTC","2022-11-15 22:11:34.455590 UTC"
"287","2","Schultz Group Co No 1","active","2022-11-15 22:07:35.096691 UTC","2022-11-15 22:07:35.096691 UTC"
"297","9","Torp and Sons Co No 11","active","2022-11-15 22:07:36.814708 UTC","2022-11-15 22:07:36.814708 UTC"
"29","2","TestAddCert","suspended","2016-01-05 16:40:01.542174 UTC","2021-12-31 09:57:24.115264 UTC"
"337","2","Lehner LLC Co No 51","active","2022-11-15 22:07:43.184495 UTC","2022-11-15 22:07:43.184495 UTC"
"45","2","Mai Test","suspended","2016-05-12 21:12:52.348410 UTC","2021-12-29 10:00:22.044934 UTC"
"347","9","Orn-Paucek Co No 61","active","2022-11-15 22:07:44.824254 UTC","2022-11-15 22:07:44.824254 UTC"
"358","1","Berge-Harber Co No 72","active","2022-11-15 22:07:46.978084 UTC","2022-11-15 22:07:46.978084 UTC"
"207","5","FirstPaymentTestSeb","active","2021-03-04 12:13:25.431492 UTC","2021-12-29 10:00:23.387841 UTC"
"372","5","Grant LLC Co No 86","active","2022-11-15 22:07:49.231436 UTC","2022-11-15 22:07:49.231436 UTC"
"386","6","Frami LLC Co No 100","active","2022-11-15 22:07:51.496696 UTC","2022-11-15 22:07:51.496696 UTC"
"388","4","O'Kon, Schmitt and Ziemann Co No 102","active","2022-11-15 22:07:51.819018 UTC","2022-11-15 22:07:51.819018 UTC"
"391","5","Corkery and Sons Co No 105","active","2022-11-15 22:07:52.282933 UTC","2022-11-15 22:07:52.282933 UTC"
"407","7","Steuber, Kuhlman and Schuster Co No 121","active","2022-11-15 22:07:54.871853 UTC","2022-11-15 22:07:54.871853 UTC"
"408","5","Simonis LLC Co No 122","active","2022-11-15 22:07:55.039197 UTC","2022-11-15 22:07:55.039197 UTC"
"421","8","Feil-Schiller Co No 135","active","2022-11-15 22:07:57.147942 UTC","2022-11-15 22:07:57.147942 UTC"
"262","2","Kakskolm AS","active","2022-03-29 13:20:02.301170 UTC","2022-03-30 11:39:45.290698 UTC"
"314","3","Mayer-Herman Co No 28","active","2022-11-15 22:07:39.570651 UTC","2022-11-15 22:07:39.570651 UTC"
"318","4","Bernhard-Daugherty Co No 32","active","2022-11-15 22:07:40.246263 UTC","2022-11-15 22:07:40.246263 UTC"
"323","8","West-Brakus Co No 37","active","2022-11-15 22:07:40.991950 UTC","2022-11-15 22:07:40.991950 UTC"
"325","4","VonRueden LLC Co No 39","active","2022-11-15 22:07:41.299646 UTC","2022-11-15 22:07:41.299646 UTC"
"989","9","Wisoky, Wintheiser and Will Co No 703","active","2022-11-15 22:09:37.116200 UTC","2022-11-15 22:09:37.116200 UTC"
"340","5","Kuhlman and Sons Co No 54","active","2022-11-15 22:07:43.641042 UTC","2022-11-15 22:07:43.641042 UTC"
"341","3","Connelly, Blick and Witting Co No 55","active","2022-11-15 22:07:43.805313 UTC","2022-11-15 22:07:43.805313 UTC"
"856","2","Koch, Champlin and Frami Co No 570","active","2022-11-15 22:09:14.278075 UTC","2022-11-15 22:09:14.278075 UTC"
"352","6","Gleason, Hilll and Windler Co No 66","active","2022-11-15 22:07:45.929634 UTC","2022-11-15 22:07:45.929634 UTC"
"354","6","Kemmer-Sawayn Co No 68","active","2022-11-15 22:07:46.302951 UTC","2022-11-15 22:07:46.302951 UTC"
"361","4","Torp-King Co No 75","active","2022-11-15 22:07:47.440908 UTC","2022-11-15 22:07:47.440908 UTC"
"239","2","Lia LHV testkaupmees 2","active","2021-10-07 09:22:59.038002 UTC","2021-12-29 10:00:23.838795 UTC"
"394","7","Braun Inc Co No 108","active","2022-11-15 22:07:52.747221 UTC","2022-11-15 22:07:52.747221 UTC"
"67","2","Test SEB","suspended","2018-03-12 07:55:16.267754 UTC","2021-12-29 10:00:22.519172 UTC"
"165","2","Bangalo Grupp OÜ","active","2020-05-20 12:24:13.601238 UTC","2024-08-23 14:52:58.901970 UTC"
"870","7","Marvin-Beier Co No 584","active","2022-11-15 22:09:16.756422 UTC","2022-11-15 22:09:16.756422 UTC"
"299","8","Koch, Kautzer and Gleason Co No 13","active","2022-11-15 22:07:37.136630 UTC","2022-11-15 22:07:37.136630 UTC"
"300","3","Hilpert Group Co No 14","active","2022-11-15 22:07:37.292699 UTC","2022-11-15 22:07:37.292699 UTC"
"311","1","Carroll Inc Co No 25","active","2022-11-15 22:07:39.046108 UTC","2022-11-15 22:07:39.046108 UTC"
"328","5","Kuvalis Inc Co No 42","active","2022-11-15 22:07:41.766856 UTC","2022-11-15 22:07:41.766856 UTC"
"331","9","Kutch-Glover Co No 45","active","2022-11-15 22:07:42.288167 UTC","2022-11-15 22:07:42.288167 UTC"
"39","2","Test Fraud Threshold 20160321","suspended","2016-03-21 06:32:45.748395 UTC","2021-12-31 09:57:24.156479 UTC"
"857","8","Goodwin LLC Co No 571","active","2022-11-15 22:09:14.442579 UTC","2022-11-15 22:09:14.442579 UTC"
"384","6","Marvin LLC Co No 98","active","2022-11-15 22:07:51.155036 UTC","2022-11-15 22:07:51.155036 UTC"
"651","4","Braun-Kohler Co No 365","active","2022-11-15 22:08:37.339503 UTC","2022-11-15 22:08:37.339503 UTC"
"661","5","Swift, Osinski and Smitham Co No 375","active","2022-11-15 22:08:38.952477 UTC","2022-11-15 22:08:38.952477 UTC"
"684","9","Collier-Tremblay Co No 398","active","2022-11-15 22:08:42.847303 UTC","2022-11-15 22:08:42.847303 UTC"
"108","2","New shop","active","2019-06-21 08:57:39.950884 UTC","2021-12-29 10:00:20.357528 UTC"
"167","2","Modirum Test","active","2020-07-03 09:59:50.495761 UTC","2021-12-29 10:00:29.240891 UTC"
"1105","4","Ondricka, Kerluke and O'Hara Co No 819","active","2022-11-15 22:09:56.684525 UTC","2022-11-15 22:09:56.684525 UTC"
"1115","4","Nitzsche-Lockman Co No 829","active","2022-11-15 22:09:58.321694 UTC","2022-11-15 22:09:58.321694 UTC"
"1168","9","Christiansen-Grady Co No 882","active","2022-11-15 22:10:09.989235 UTC","2022-11-15 22:10:09.989235 UTC"
"1172","5","Nitzsche, Hamill and Mosciski Co No 886","active","2022-11-15 22:10:10.698789 UTC","2022-11-15 22:10:10.698789 UTC"
"1211","2","Schmeler, Kreiger and McClure Co No 925","active","2022-11-15 22:10:17.304825 UTC","2022-11-15 22:10:17.304825 UTC"
"1265","3","Harber Group Co No 979","active","2022-11-15 22:10:26.047307 UTC","2022-11-15 22:10:26.047307 UTC"
"1280","4","Blanda and Sons Co No 994","active","2022-11-15 22:10:28.432127 UTC","2022-11-15 22:10:28.432127 UTC"
"1344","2","Borer-Smitham Co No 1058","active","2022-11-15 22:10:39.514790 UTC","2022-11-15 22:10:39.514790 UTC"
"1363","8","Stoltenberg, Pollich and Emmerich Co No 1077","active","2022-11-15 22:10:42.746543 UTC","2022-11-15 22:10:42.746543 UTC"
"1375","7","Hessel, Roberts and Leuschke Co No 1089","active","2022-11-15 22:10:44.640360 UTC","2022-11-15 22:10:44.640360 UTC"
"1400","2","Boyle, White and Bogisich Co No 1114","active","2022-11-15 22:10:49.245342 UTC","2022-11-15 22:10:49.245342 UTC"
"935","3","Frami Inc Co No 649","active","2022-11-15 22:09:27.651490 UTC","2022-11-15 22:09:27.651490 UTC"
"940","5","Romaguera, O'Conner and Harvey Co No 654","active","2022-11-15 22:09:28.437569 UTC","2022-11-15 22:09:28.437569 UTC"
"944","9","Ryan, Walker and Gerhold Co No 658","active","2022-11-15 22:09:29.080070 UTC","2022-11-15 22:09:29.080070 UTC"
"945","2","Conroy, Lindgren and Fahey Co No 659","active","2022-11-15 22:09:29.243018 UTC","2022-11-15 22:09:29.243018 UTC"
"4234","7","Stark, Klein and Cummings Co No 1911","active","2022-11-15 22:28:28.065198 UTC","2022-11-15 22:28:28.065198 UTC"
"840","9","Hermiston, Deckow and Kshlerin Co No 554","active","2022-11-15 22:09:11.600323 UTC","2022-11-15 22:09:11.600323 UTC"
"956","6","Leffler, Renner and Bayer Co No 670","active","2022-11-15 22:09:31.466418 UTC","2022-11-15 22:09:31.466418 UTC"
"957","3","Volkman and Sons Co No 671","active","2022-11-15 22:09:31.638395 UTC","2022-11-15 22:09:31.638395 UTC"
"842","5","Ratke-Macejkovic Co No 556","active","2022-11-15 22:09:11.931877 UTC","2022-11-15 22:09:11.931877 UTC"
"843","8","Williamson-Goodwin Co No 557","active","2022-11-15 22:09:12.112452 UTC","2022-11-15 22:09:12.112452 UTC"
"845","6","Gaylord, Considine and Ziemann Co No 559","active","2022-11-15 22:09:12.465440 UTC","2022-11-15 22:09:12.465440 UTC"
"977","8","Pagac, Shanahan and Feeney Co No 691","active","2022-11-15 22:09:35.027388 UTC","2022-11-15 22:09:35.027388 UTC"
"986","4","Harris-Ward Co No 700","active","2022-11-15 22:09:36.623132 UTC","2022-11-15 22:09:36.623132 UTC"
"4236","3","Thompson, Bartell and Hilpert Co No 1913","active","2022-11-15 22:28:28.396435 UTC","2022-11-15 22:28:28.396435 UTC"
"848","4","Schiller-Hansen Co No 562","active","2022-11-15 22:09:12.951401 UTC","2022-11-15 22:09:12.951401 UTC"
"4","2","Lambi Ettevõte AS","suspended","2014-06-09 07:50:00.424633 UTC","2021-12-29 10:00:21.570342 UTC"
"824","9","Klocko, Grant and McCullough Co No 538","active","2022-11-15 22:09:08.902458 UTC","2022-11-15 22:09:08.902458 UTC"
"53","2","testetst","active","2017-06-01 07:06:40.530249 UTC","2021-12-31 09:57:27.526863 UTC"
"62","2","Test reset password","suspended","2017-11-17 11:30:26.516808 UTC","2021-12-31 09:57:27.714470 UTC"
"137","2","LHV Token Merchant","active","2020-02-05 10:40:34.306611 UTC","2021-12-29 10:00:20.985631 UTC"
"1743","1","Quigley and Sons Co No 1457","active","2022-11-15 22:11:49.027307 UTC","2022-11-15 22:11:49.027307 UTC"
"1799","3","Rippin, Krajcik and Ankunding Co No 1513","active","2022-11-15 22:11:58.362299 UTC","2022-11-15 22:11:58.362299 UTC"
"1838","9","Witting-Adams Co No 1552","active","2022-11-15 22:12:07.472437 UTC","2022-11-15 22:12:07.472437 UTC"
"1991","9","Cremin, Stark and Parisian Co No 1705","active","2022-11-15 22:12:33.826636 UTC","2022-11-15 22:12:33.826636 UTC"
"2019","8","Sipes, Deckow and Quigley Co No 1733","active","2022-11-15 22:12:38.584594 UTC","2022-11-15 22:12:38.584594 UTC"
"3102","2","Larkin, Wilderman and Bins Co No 779","active","2022-11-15 22:25:07.687743 UTC","2022-11-15 22:25:07.687743 UTC"
"3266","1","Jacobi-Swift Co No 943","active","2022-11-15 22:25:36.860586 UTC","2022-11-15 22:25:36.860586 UTC"
"3547","7","Price, Schinner and Buckridge Co No 1224","active","2022-11-15 22:26:25.815850 UTC","2022-11-15 22:26:25.815850 UTC"
"243","2","Test Merchant","active","2021-10-27 13:39:45.285139 UTC","2021-12-29 10:00:24.067088 UTC"
"254","2","TESTTTT OÜ","suspended","2022-03-23 08:42:26.863064 UTC","2022-04-12 08:16:23.339302 UTC"
"198","2","Ilusäde OÜ","active","2021-02-26 09:40:52.739836 UTC","2021-12-29 10:00:22.605687 UTC"
"69","1","Uhiuus business","active","2018-03-22 09:01:00.871122 UTC","2021-12-29 10:00:28.140723 UTC"
"56","2","A New Test Merchant from clipboad","active","2017-06-16 08:57:35.085489 UTC","2021-12-29 10:00:22.244870 UTC"
"846","5","Rempel LLC Co No 560","active","2022-11-15 22:09:12.627880 UTC","2022-11-15 22:09:12.627880 UTC"
"847","4","Haag and Sons Co No 561","active","2022-11-15 22:09:12.790499 UTC","2022-11-15 22:09:12.790499 UTC"
"979","3","Renner, Bednar and Wiza Co No 693","active","2022-11-15 22:09:35.432202 UTC","2022-11-15 22:09:35.432202 UTC"
"984","7","Toy Inc Co No 698","active","2022-11-15 22:09:36.303296 UTC","2022-11-15 22:09:36.303296 UTC"
"850","7","Rohan Group Co No 564","active","2022-11-15 22:09:13.271662 UTC","2022-11-15 22:09:13.271662 UTC"
"853","3","Bernhard-Littel Co No 567","active","2022-11-15 22:09:13.772440 UTC","2022-11-15 22:09:13.772440 UTC"
